variable,target,cohens_d
XWE-GloVe_83,age_group,0.2005
XWE-GloVe_84,age_group,0.1342
XWE-GloVe_85,age_group,-0.0201
XWE-GloVe_86,age_group,-0.2117
XWE-GloVe_87,age_group,-0.0936
XWE-GloVe_88,age_group,-0.0265
XWE-GloVe_89,age_group,-0.2309
XWE-GloVe_90,age_group,0.4114
Xwords,ideology,-0.1088
Xunique,ideology,0.0166
Xtwice,ideology,-0.1036
Xav_length,ideology,-0.0141
Xmax_length,ideology,-0.1649
Xnumbers,ideology,0.0
Xlength_6,ideology,-0.0179
Xlength_3,ideology,-0.0259
Xstop,ideology,0.0366
Xcharacter,ideology,-0.1633
Xcapital,ideology,0.1063
Xpunctuation,ideology,-0.0276
Xsentence,ideology,0.1
Xsentence_par,ideology,0.1
Xword_par,ideology,-0.1088
Xchar_par,ideology,-0.1633
Xdet,ideology,-0.1018
Xprep,ideology,-0.1354
Xsing,ideology,0.0807
Xplural,ideology,-0.0573
Xadv,ideology,0.0343
Xnouns,ideology,0.0045
Xpronouns,ideology,0.1783
Xconj,ideology,-0.0686
Xpast,ideology,-0.0318
Xfuture,ideology,0.0
Xmentions,ideology,0.1236
Xhashtag,ideology,-0.0051
Xurl,ideology,-0.0389
Xemoji,ideology,-0.0697
XWE-GloVe_1,ideology,0.1254
XWE-GloVe_2,ideology,0.1132
XWE-GloVe_3,ideology,0.1743
XWE-GloVe_4,ideology,-0.0698
XWE-GloVe_5,ideology,0.1272
XWE-GloVe_6,ideology,-0.2405
XWE-GloVe_7,ideology,-0.1284
XWE-GloVe_8,ideology,0.1125
XWE-GloVe_9,ideology,0.0241
XWE-GloVe_10,ideology,0.1483
XWE-GloVe_11,ideology,-0.1267
XWE-GloVe_12,ideology,0.0211
XWE-GloVe_13,ideology,-0.106
XWE-GloVe_14,ideology,-0.185
XWE-GloVe_15,ideology,-0.0399
XWE-GloVe_16,ideology,0.0362
XWE-GloVe_17,ideology,0.0311
XWE-GloVe_18,ideology,-0.0261
XWE-GloVe_19,ideology,0.0776
XWE-GloVe_20,ideology,-0.0197
XWE-GloVe_21,ideology,-0.0732
XWE-GloVe_22,ideology,-0.0621
XWE-GloVe_23,ideology,-0.0823
XWE-GloVe_24,ideology,0.0787
XWE-GloVe_25,ideology,-0.038
XWE-GloVe_26,ideology,-0.1086
XWE-GloVe_27,ideology,0.0836
XWE-GloVe_28,ideology,-0.1135
XWE-GloVe_29,ideology,0.0657
XWE-GloVe_30,ideology,0.2136
XWE-GloVe_31,ideology,-0.013
XWE-GloVe_32,ideology,0.0977
XWE-GloVe_33,ideology,0.0559
XWE-GloVe_34,ideology,0.1083
XWE-GloVe_35,ideology,0.0454
XWE-GloVe_36,ideology,0.0949
XWE-GloVe_37,ideology,0.0574
XWE-GloVe_38,ideology,0.112
XWE-GloVe_39,ideology,0.2498
XWE-GloVe_40,ideology,0.0381
XWE-GloVe_41,ideology,0.0904
XWE-GloVe_42,ideology,0.041
XWE-GloVe_43,ideology,-0.1651
XWE-GloVe_44,ideology,-0.058
XWE-GloVe_45,ideology,-0.0351
XWE-GloVe_46,ideology,-0.0256
XWE-GloVe_47,ideology,-0.0713
XWE-GloVe_48,ideology,-0.0311
XWE-GloVe_49,ideology,0.0487
XWE-GloVe_50,ideology,-0.0145
XWE-GloVe_51,ideology,0.1549
XWE-GloVe_52,ideology,0.0169
XWE-GloVe_53,ideology,0.0464
XWE-GloVe_54,ideology,-0.0699
XWE-GloVe_55,ideology,-0.0228
XWE-GloVe_56,ideology,-0.0731
XWE-GloVe_57,ideology,-0.0844
XWE-GloVe_58,ideology,0.0665
XWE-GloVe_59,ideology,0.083
XWE-GloVe_60,ideology,-0.1019
